MON,APT,DAB,VAL,MON
MON,APT,DAB,VFB,MON
MON,APT,DSA,DSS,MON
MON,APT,DSA,GFAGFB,MON
MON,APT,DSA,GFC,MON
MON,APT,DSA,KVB,MON
MON,APT,DSA,MID,MON
MON,APT,DSA,NLN,MON
MON,APT,DSA,OSC,MON
MON,APT,DSA,OSE,MON
MON,APT,DSA,OSO,MON
MON,APT,DSA,OSS,MON
MON,APT,DSA,STA,MON
MON,APT,DSA,STB,MON
MON,APT,DSA,STC,MON
MON,APT,DSA,TEN,MON
MON,APT,DSA,TEQ,MON
MON,APT,DSA,TRB,MON
MON,APT,DSA,TRC,MON
MON,APT,DSA,VFB,MON
MON,APT,DSS,GFAGFB,MON
MON,APT,DSS,GFC,MON
MON,APT,DSS,KVB,MON
MON,APT,DSS,MID,MON
MON,APT,DSS,NLN,MON
MON,APT,DSS,OSC,MON
MON,APT,DSS,OSE,MON
MON,APT,DSS,OSO,MON
MON,APT,DSS,OSS,MON
MON,APT,DSS,STA,MON
MON,APT,DSS,STB,MON
MON,APT,DSS,STC,MON
MON,APT,DSS,TEN,MON
MON,APT,DSS,TEQ,MON
MON,APT,DSS,TRB,MON
MON,APT,DSS,TRC,MON
MON,APT,DSS,VFB,MON
MON,APT,GFAGFB,GFC,MON
MON,APT,GFAGFB,KVB,MON
MON,APT,GFAGFB,MID,MON
MON,APT,GFAGFB,NLN,MON
MON,APT,GFAGFB,OSC,MON
MON,APT,GFAGFB,OSO,MON
MON,APT,GFAGFB,OSS,MON
MON,APT,GFAGFB,STA,MON
MON,APT,GFAGFB,STB,MON
MON,APT,GFAGFB,STC,MON
MON,APT,GFAGFB,TEN,MON
MON,APT,GFAGFB,TEQ,MON
MON,APT,GFAGFB,TRB,MON
MON,APT,GFAGFB,TRC,MON
MON,APT,GFAGFB,TRO,MON
MON,APT,GFAGFB,VAL,MON
MON,APT,GFAGFB,VFB,MON
MON,APT,GFC,NLN,MON
MON,APT,GFC,OSC,MON
MON,APT,GFC,OSE,MON
MON,APT,GFC,OSS,MON
MON,APT,GFC,STA,MON
MON,APT,GFC,STB,MON
MON,APT,GFC,STC,MON
MON,APT,GFC,TEN,MON
MON,APT,GFC,TEQ,MON
MON,APT,GFC,TRB,MON
MON,APT,GFC,TRC,MON
MON,APT,GFC,VFB,MON
MON,APT,KVB,OSE,MON
MON,APT,KVB,STB,MON
MON,APT,KVB,STC,MON
MON,APT,MID,OSE,MON
MON,APT,MID,STB,MON
MON,APT,MID,STC,MON
MON,APT,NLN,OSC,MON
MON,APT,NLN,OSE,MON
MON,APT,NLN,OSS,MON
MON,APT,NLN,STA,MON
MON,APT,NLN,STB,MON
MON,APT,NLN,STC,MON
MON,APT,NLN,TEN,MON
MON,APT,NLN,TEQ,MON
MON,APT,NLN,TRB,MON
MON,APT,NLN,TRC,MON
MON,APT,NLN,VFB,MON
MON,APT,OSC,OSE,MON
MON,APT,OSC,STA,MON
MON,APT,OSC,STB,MON
MON,APT,OSC,STC,MON
MON,APT,OSE,OSS,MON
MON,APT,OSE,STA,MON
MON,APT,OSE,STB,MON
MON,APT,OSE,STC,MON
MON,APT,OSE,TRB,MON
MON,APT,OSE,VAL,MON
MON,APT,OSE,VFB,MON
MON,APT,OSO,STB,MON
MON,APT,OSO,STC,MON
MON,APT,OSS,STA,MON
MON,APT,OSS,STB,MON
MON,APT,OSS,STC,MON
MON,APT,STA,STB,MON
MON,APT,STA,STC,MON
MON,APT,STA,TEN,MON
MON,APT,STA,TEQ,MON
MON,APT,STA,TRB,MON
MON,APT,STA,TRC,MON
MON,APT,STA,VFB,MON
MON,APT,STB,STC,MON
MON,APT,STB,TEN,MON
MON,APT,STB,TEQ,MON
MON,APT,STB,TRB,MON
MON,APT,STB,TRC,MON
MON,APT,STB,VFB,MON
MON,APT,STC,TEN,MON
MON,APT,STC,TEQ,MON
MON,APT,STC,TRB,MON
MON,APT,STC,TRC,MON
MON,APT,STC,VFB,MON
MON,ASL,DAB,DSA,MON
MON,ASL,DAB,DSS,MON
MON,ASL,DAB,GFC,MON
MON,ASL,DAB,KVB,MON
MON,ASL,DAB,MID,MON
MON,ASL,DAB,NLN,MON
MON,ASL,DAB,OSC,MON
MON,ASL,DAB,OSO,MON
MON,ASL,DAB,OSS,MON
MON,ASL,DAB,STA,MON
MON,ASL,DAB,STB,MON
MON,ASL,DAB,STC,MON
MON,ASL,DAB,TEN,MON
MON,ASL,DAB,TEQ,MON
MON,ASL,DAB,TRB,MON
MON,ASL,DAB,TRC,MON
MON,ASL,DAB,TRO,MON
MON,ASL,DAB,VAL,MON
MON,ASL,DAB,VFB,MON
MON,ASL,DSA,DSS,MON
MON,ASL,DSA,GFC,MON
MON,ASL,DSA,KVB,MON
MON,ASL,DSA,MID,MON
MON,ASL,DSA,NLN,MON
MON,ASL,DSA,OSC,MON
MON,ASL,DSA,OSE,MON
MON,ASL,DSA,OSO,MON
MON,ASL,DSA,OSS,MON
MON,ASL,DSA,STA,MON
MON,ASL,DSA,STB,MON
MON,ASL,DSA,STC,MON
MON,ASL,DSA,TEN,MON
MON,ASL,DSA,TEQ,MON
MON,ASL,DSA,TRB,MON
MON,ASL,DSA,TRC,MON
MON,ASL,DSA,TRO,MON
MON,ASL,DSA,VAL,MON
MON,ASL,DSA,VFB,MON
MON,ASL,DSS,GFC,MON
MON,ASL,DSS,KVB,MON
MON,ASL,DSS,MID,MON
MON,ASL,DSS,NLN,MON
MON,ASL,DSS,OSC,MON
MON,ASL,DSS,OSE,MON
MON,ASL,DSS,OSO,MON
MON,ASL,DSS,OSS,MON
MON,ASL,DSS,STA,MON
MON,ASL,DSS,STB,MON
MON,ASL,DSS,STC,MON
MON,ASL,DSS,TEN,MON
MON,ASL,DSS,TEQ,MON
MON,ASL,DSS,TRB,MON
MON,ASL,DSS,TRC,MON
MON,ASL,DSS,TRO,MON
MON,ASL,DSS,VAL,MON
MON,ASL,DSS,VFB,MON
MON,ASL,GFAGFB,GFC,MON
MON,ASL,GFAGFB,KVB,MON
MON,ASL,GFAGFB,MID,MON
MON,ASL,GFAGFB,NLN,MON
MON,ASL,GFAGFB,OSC,MON
MON,ASL,GFAGFB,OSO,MON
MON,ASL,GFAGFB,OSS,MON
MON,ASL,GFAGFB,STA,MON
MON,ASL,GFAGFB,TEN,MON
MON,ASL,GFAGFB,TEQ,MON
MON,ASL,GFAGFB,TRB,MON
MON,ASL,GFAGFB,TRC,MON
MON,ASL,GFAGFB,TRO,MON
MON,ASL,GFAGFB,VAL,MON
MON,ASL,GFAGFB,VFB,MON
MON,ASL,GFC,KVB,MON
MON,ASL,GFC,MID,MON
MON,ASL,GFC,NLN,MON
MON,ASL,GFC,OSC,MON
MON,ASL,GFC,OSE,MON
MON,ASL,GFC,OSO,MON
MON,ASL,GFC,OSS,MON
MON,ASL,GFC,STA,MON
MON,ASL,GFC,STB,MON
MON,ASL,GFC,STC,MON
MON,ASL,GFC,TEN,MON
MON,ASL,GFC,TEQ,MON
MON,ASL,GFC,TRB,MON
MON,ASL,GFC,TRC,MON
MON,ASL,GFC,TRO,MON
MON,ASL,GFC,VAL,MON
MON,ASL,GFC,VFB,MON
MON,ASL,KVB,NLN,MON
MON,ASL,KVB,OSE,MON
MON,ASL,KVB,STA,MON
MON,ASL,KVB,STB,MON
MON,ASL,KVB,STC,MON
MON,ASL,KVB,TRB,MON
MON,ASL,MID,NLN,MON
MON,ASL,MID,OSE,MON
MON,ASL,MID,STA,MON
MON,ASL,MID,STB,MON
MON,ASL,MID,STC,MON
MON,ASL,MID,TRB,MON
MON,ASL,NLN,OSC,MON
MON,ASL,NLN,OSE,MON
MON,ASL,NLN,OSO,MON
MON,ASL,NLN,OSS,MON
MON,ASL,NLN,STA,MON
MON,ASL,NLN,STB,MON
MON,ASL,NLN,STC,MON
MON,ASL,NLN,TEN,MON
MON,ASL,NLN,TEQ,MON
MON,ASL,NLN,TRB,MON
MON,ASL,NLN,TRC,MON
MON,ASL,NLN,TRO,MON
MON,ASL,NLN,VFB,MON
MON,ASL,OSC,OSE,MON
MON,ASL,OSC,OSS,MON
MON,ASL,OSC,STA,MON
MON,ASL,OSC,STB,MON
MON,ASL,OSC,STC,MON
MON,ASL,OSC,TEN,MON
MON,ASL,OSC,TEQ,MON
MON,ASL,OSC,TRB,MON
MON,ASL,OSC,TRC,MON
MON,ASL,OSC,VFB,MON
MON,ASL,OSE,OSO,MON
MON,ASL,OSE,OSS,MON
MON,ASL,OSE,STA,MON
MON,ASL,OSE,STB,MON
MON,ASL,OSE,STC,MON
MON,ASL,OSE,TEN,MON
MON,ASL,OSE,TEQ,MON
MON,ASL,OSE,TRB,MON
MON,ASL,OSE,TRC,MON
MON,ASL,OSE,TRO,MON
MON,ASL,OSE,VAL,MON
MON,ASL,OSE,VFB,MON
MON,ASL,OSO,STA,MON
MON,ASL,OSO,STB,MON
MON,ASL,OSO,STC,MON
MON,ASL,OSO,TRB,MON
MON,ASL,OSS,STA,MON
MON,ASL,OSS,STB,MON
MON,ASL,OSS,STC,MON
MON,ASL,OSS,TEN,MON
MON,ASL,OSS,TEQ,MON
MON,ASL,OSS,TRB,MON
MON,ASL,OSS,TRC,MON
MON,ASL,OSS,VFB,MON
MON,ASL,STA,STB,MON
MON,ASL,STA,STC,MON
MON,ASL,STA,TEN,MON
MON,ASL,STA,TEQ,MON
MON,ASL,STA,TRB,MON
MON,ASL,STA,TRC,MON
MON,ASL,STA,TRO,MON
MON,ASL,STA,VAL,MON
MON,ASL,STA,VFB,MON
MON,ASL,STB,STC,MON
MON,ASL,STB,TEN,MON
MON,ASL,STB,TEQ,MON
MON,ASL,STB,TRB,MON
MON,ASL,STB,TRC,MON
MON,ASL,STB,TRO,MON
MON,ASL,STB,VAL,MON
MON,ASL,STB,VFB,MON
MON,ASL,STC,TEN,MON
MON,ASL,STC,TEQ,MON
MON,ASL,STC,TRB,MON
MON,ASL,STC,TRC,MON
MON,ASL,STC,TRO,MON
MON,ASL,STC,VAL,MON
MON,ASL,STC,VFB,MON
MON,ASL,TEN,TEQ,MON
MON,ASL,TEN,TRB,MON
MON,ASL,TEN,TRC,MON
MON,ASL,TEN,VFB,MON
MON,ASL,TEQ,TRB,MON
MON,ASL,TEQ,VFB,MON
MON,ASL,TRB,TRC,MON
MON,ASL,TRB,VFB,MON
MON,ASL,TRC,VFB,MON
MON,DAB,DSA,DSS,MON
MON,DAB,DSA,GFC,MON
MON,DAB,DSA,KVB,MON
MON,DAB,DSA,MID,MON
MON,DAB,DSA,NLN,MON
MON,DAB,DSA,OSC,MON
MON,DAB,DSA,OSO,MON
MON,DAB,DSA,OSS,MON
MON,DAB,DSA,STA,MON
MON,DAB,DSA,STB,MON
MON,DAB,DSA,STC,MON
MON,DAB,DSA,TEN,MON
MON,DAB,DSA,TEQ,MON
MON,DAB,DSA,TRB,MON
MON,DAB,DSA,TRC,MON
MON,DAB,DSA,TRO,MON
MON,DAB,DSA,VAL,MON
MON,DAB,DSA,VFB,MON
MON,DAB,DSS,GFC,MON
MON,DAB,DSS,KVB,MON
MON,DAB,DSS,MID,MON
MON,DAB,DSS,NLN,MON
MON,DAB,DSS,OSC,MON
MON,DAB,DSS,OSO,MON
MON,DAB,DSS,OSS,MON
MON,DAB,DSS,STA,MON
MON,DAB,DSS,STB,MON
MON,DAB,DSS,STC,MON
MON,DAB,DSS,TEN,MON
MON,DAB,DSS,TEQ,MON
MON,DAB,DSS,TRB,MON
MON,DAB,DSS,TRC,MON
MON,DAB,DSS,TRO,MON
MON,DAB,DSS,VAL,MON
MON,DAB,DSS,VFB,MON
MON,DAB,GFAGFB,TRO,MON
MON,DAB,GFAGFB,VAL,MON
MON,DAB,GFC,KVB,MON
MON,DAB,GFC,MID,MON
MON,DAB,GFC,NLN,MON
MON,DAB,GFC,OSC,MON
MON,DAB,GFC,OSO,MON
MON,DAB,GFC,OSS,MON
MON,DAB,GFC,STA,MON
MON,DAB,GFC,STB,MON
MON,DAB,GFC,STC,MON
MON,DAB,GFC,TEN,MON
MON,DAB,GFC,TEQ,MON
MON,DAB,GFC,TRB,MON
MON,DAB,GFC,TRC,MON
MON,DAB,GFC,TRO,MON
MON,DAB,GFC,VAL,MON
MON,DAB,GFC,VFB,MON
MON,DAB,KVB,MID,MON
MON,DAB,KVB,NLN,MON
MON,DAB,KVB,OSC,MON
MON,DAB,KVB,OSE,MON
MON,DAB,KVB,OSO,MON
MON,DAB,KVB,OSS,MON
MON,DAB,KVB,STA,MON
MON,DAB,KVB,STB,MON
MON,DAB,KVB,STC,MON
MON,DAB,KVB,TRB,MON
MON,DAB,KVB,VFB,MON
MON,DAB,MID,NLN,MON
MON,DAB,MID,OSC,MON
MON,DAB,MID,OSE,MON
MON,DAB,MID,OSO,MON
MON,DAB,MID,OSS,MON
MON,DAB,MID,STA,MON
MON,DAB,MID,STB,MON
MON,DAB,MID,STC,MON
MON,DAB,MID,TEN,MON
MON,DAB,MID,TEQ,MON
MON,DAB,MID,TRB,MON
MON,DAB,MID,TRC,MON
MON,DAB,MID,TRO,MON
MON,DAB,MID,VAL,MON
MON,DAB,MID,VFB,MON
MON,DAB,NLN,OSC,MON
MON,DAB,NLN,OSO,MON
MON,DAB,NLN,OSS,MON
MON,DAB,NLN,STA,MON
MON,DAB,NLN,STB,MON
MON,DAB,NLN,STC,MON
MON,DAB,NLN,TEN,MON
MON,DAB,NLN,TEQ,MON
MON,DAB,NLN,TRB,MON
MON,DAB,NLN,TRC,MON
MON,DAB,NLN,TRO,MON
MON,DAB,NLN,VAL,MON
MON,DAB,NLN,VFB,MON
MON,DAB,OSC,OSE,MON
MON,DAB,OSC,OSO,MON
MON,DAB,OSC,OSS,MON
MON,DAB,OSC,STA,MON
MON,DAB,OSC,STB,MON
MON,DAB,OSC,STC,MON
MON,DAB,OSC,TEN,MON
MON,DAB,OSC,TEQ,MON
MON,DAB,OSC,TRB,MON
MON,DAB,OSC,TRC,MON
MON,DAB,OSC,VAL,MON
MON,DAB,OSC,VFB,MON
MON,DAB,OSE,OSO,MON
MON,DAB,OSE,OSS,MON
MON,DAB,OSE,TEN,MON
MON,DAB,OSE,TEQ,MON
MON,DAB,OSE,TRB,MON
MON,DAB,OSE,TRC,MON
MON,DAB,OSE,TRO,MON
MON,DAB,OSE,VAL,MON
MON,DAB,OSE,VFB,MON
MON,DAB,OSO,OSS,MON
MON,DAB,OSO,STA,MON
MON,DAB,OSO,STB,MON
MON,DAB,OSO,STC,MON
MON,DAB,OSO,VAL,MON
MON,DAB,OSS,STA,MON
MON,DAB,OSS,STB,MON
MON,DAB,OSS,STC,MON
MON,DAB,OSS,TEN,MON
MON,DAB,OSS,TEQ,MON
MON,DAB,OSS,TRB,MON
MON,DAB,OSS,TRC,MON
MON,DAB,OSS,TRO,MON
MON,DAB,OSS,VAL,MON
MON,DAB,OSS,VFB,MON
MON,DAB,STA,STB,MON
MON,DAB,STA,STC,MON
MON,DAB,STA,TEN,MON
MON,DAB,STA,TEQ,MON
MON,DAB,STA,TRB,MON
MON,DAB,STA,TRC,MON
MON,DAB,STA,TRO,MON
MON,DAB,STA,VAL,MON
MON,DAB,STA,VFB,MON
MON,DAB,STB,STC,MON
MON,DAB,STB,TEN,MON
MON,DAB,STB,TEQ,MON
MON,DAB,STB,TRB,MON
MON,DAB,STB,TRC,MON
MON,DAB,STB,TRO,MON
MON,DAB,STB,VAL,MON
MON,DAB,STB,VFB,MON
MON,DAB,STC,TEN,MON
MON,DAB,STC,TEQ,MON
MON,DAB,STC,TRB,MON
MON,DAB,STC,TRC,MON
MON,DAB,STC,TRO,MON
MON,DAB,STC,VAL,MON
MON,DAB,STC,VFB,MON
MON,DAB,TEN,VAL,MON
MON,DAB,TEN,VFB,MON
MON,DAB,TEQ,VAL,MON
MON,DAB,TEQ,VFB,MON
MON,DAB,TRB,VAL,MON
MON,DAB,TRB,VFB,MON
MON,DAB,TRC,VAL,MON
MON,DAB,TRC,VFB,MON
MON,DAB,TRO,VAL,MON
MON,DAB,TRO,VFB,MON
MON,DAB,VAL,VFB,MON
MON,DSA,DSS,GFC,MON
MON,DSA,DSS,KVB,MON
MON,DSA,DSS,MID,MON
MON,DSA,DSS,NLN,MON
MON,DSA,DSS,OSC,MON
MON,DSA,DSS,OSE,MON
MON,DSA,DSS,OSO,MON
MON,DSA,DSS,OSS,MON
MON,DSA,DSS,STA,MON
MON,DSA,DSS,STB,MON
MON,DSA,DSS,STC,MON
MON,DSA,DSS,TEN,MON
MON,DSA,DSS,TEQ,MON
MON,DSA,DSS,TRB,MON
MON,DSA,DSS,TRC,MON
MON,DSA,DSS,TRO,MON
MON,DSA,DSS,VAL,MON
MON,DSA,DSS,VFB,MON
MON,DSA,GFAGFB,KVB,MON
MON,DSA,GFAGFB,MID,MON
MON,DSA,GFAGFB,OSC,MON
MON,DSA,GFAGFB,OSO,MON
MON,DSA,GFAGFB,OSS,MON
MON,DSA,GFAGFB,TEN,MON
MON,DSA,GFAGFB,TEQ,MON
MON,DSA,GFAGFB,TRB,MON
MON,DSA,GFAGFB,TRC,MON
MON,DSA,GFAGFB,TRO,MON
MON,DSA,GFAGFB,VAL,MON
MON,DSA,GFAGFB,VFB,MON
MON,DSA,GFC,KVB,MON
MON,DSA,GFC,MID,MON
MON,DSA,GFC,NLN,MON
MON,DSA,GFC,OSC,MON
MON,DSA,GFC,OSE,MON
MON,DSA,GFC,OSO,MON
MON,DSA,GFC,OSS,MON
MON,DSA,GFC,STA,MON
MON,DSA,GFC,STB,MON
MON,DSA,GFC,STC,MON
MON,DSA,GFC,TEN,MON
MON,DSA,GFC,TEQ,MON
MON,DSA,GFC,TRB,MON
MON,DSA,GFC,TRC,MON
MON,DSA,GFC,TRO,MON
MON,DSA,GFC,VAL,MON
MON,DSA,GFC,VFB,MON
MON,DSA,KVB,NLN,MON
MON,DSA,KVB,OSC,MON
MON,DSA,KVB,OSE,MON
MON,DSA,KVB,OSS,MON
MON,DSA,KVB,STA,MON
MON,DSA,KVB,STB,MON
MON,DSA,KVB,STC,MON
MON,DSA,KVB,TEN,MON
MON,DSA,KVB,TEQ,MON
MON,DSA,KVB,TRB,MON
MON,DSA,KVB,TRC,MON
MON,DSA,KVB,VFB,MON
MON,DSA,MID,NLN,MON
MON,DSA,MID,OSC,MON
MON,DSA,MID,OSE,MON
MON,DSA,MID,OSS,MON
MON,DSA,MID,STA,MON
MON,DSA,MID,STB,MON
MON,DSA,MID,STC,MON
MON,DSA,MID,TEN,MON
MON,DSA,MID,TEQ,MON
MON,DSA,MID,TRB,MON
MON,DSA,MID,TRC,MON
MON,DSA,MID,VFB,MON
MON,DSA,NLN,OSC,MON
MON,DSA,NLN,OSE,MON
MON,DSA,NLN,OSO,MON
MON,DSA,NLN,OSS,MON
MON,DSA,NLN,STA,MON
MON,DSA,NLN,STB,MON
MON,DSA,NLN,STC,MON
MON,DSA,NLN,TEN,MON
MON,DSA,NLN,TEQ,MON
MON,DSA,NLN,TRB,MON
MON,DSA,NLN,TRC,MON
MON,DSA,NLN,TRO,MON
MON,DSA,NLN,VAL,MON
MON,DSA,NLN,VFB,MON
MON,DSA,OSC,OSE,MON
MON,DSA,OSC,OSO,MON
MON,DSA,OSC,OSS,MON
MON,DSA,OSC,STA,MON
MON,DSA,OSC,STB,MON
MON,DSA,OSC,STC,MON
MON,DSA,OSC,TEN,MON
MON,DSA,OSC,TEQ,MON
MON,DSA,OSC,TRB,MON
MON,DSA,OSC,TRC,MON
MON,DSA,OSC,VFB,MON
MON,DSA,OSE,OSO,MON
MON,DSA,OSE,OSS,MON
MON,DSA,OSE,TEN,MON
MON,DSA,OSE,TEQ,MON
MON,DSA,OSE,TRB,MON
MON,DSA,OSE,TRC,MON
MON,DSA,OSE,TRO,MON
MON,DSA,OSE,VAL,MON
MON,DSA,OSE,VFB,MON
MON,DSA,OSO,OSS,MON
MON,DSA,OSO,STA,MON
MON,DSA,OSO,STB,MON
MON,DSA,OSO,STC,MON
MON,DSA,OSO,TEN,MON
MON,DSA,OSO,TEQ,MON
MON,DSA,OSO,TRB,MON
MON,DSA,OSO,TRC,MON
MON,DSA,OSO,VFB,MON
MON,DSA,OSS,STA,MON
MON,DSA,OSS,STB,MON
MON,DSA,OSS,STC,MON
MON,DSA,OSS,TEN,MON
MON,DSA,OSS,TEQ,MON
MON,DSA,OSS,TRB,MON
MON,DSA,OSS,TRC,MON
MON,DSA,OSS,VFB,MON
MON,DSA,STA,STB,MON
MON,DSA,STA,STC,MON
MON,DSA,STA,TEN,MON
MON,DSA,STA,TEQ,MON
MON,DSA,STA,TRB,MON
MON,DSA,STA,TRC,MON
MON,DSA,STA,TRO,MON
MON,DSA,STA,VAL,MON
MON,DSA,STA,VFB,MON
MON,DSA,STB,STC,MON
MON,DSA,STB,TEN,MON
MON,DSA,STB,TEQ,MON
MON,DSA,STB,TRB,MON
MON,DSA,STB,TRC,MON
MON,DSA,STB,TRO,MON
MON,DSA,STB,VAL,MON
MON,DSA,STB,VFB,MON
MON,DSA,STC,TEN,MON
MON,DSA,STC,TEQ,MON
MON,DSA,STC,TRB,MON
MON,DSA,STC,TRC,MON
MON,DSA,STC,TRO,MON
MON,DSA,STC,VAL,MON
MON,DSA,STC,VFB,MON
MON,DSA,TEN,TEQ,MON
MON,DSA,TEN,TRB,MON
MON,DSA,TEN,TRC,MON
MON,DSA,TEN,VFB,MON
MON,DSA,TEQ,TRB,MON
MON,DSA,TEQ,TRC,MON
MON,DSA,TEQ,VFB,MON
MON,DSA,TRB,TRC,MON
MON,DSA,TRB,TRO,MON
MON,DSA,TRB,VAL,MON
MON,DSA,TRB,VFB,MON
MON,DSA,TRC,VFB,MON
MON,DSS,GFAGFB,KVB,MON
MON,DSS,GFAGFB,MID,MON
MON,DSS,GFAGFB,OSC,MON
MON,DSS,GFAGFB,OSO,MON
MON,DSS,GFAGFB,OSS,MON
MON,DSS,GFAGFB,TEN,MON
MON,DSS,GFAGFB,TEQ,MON
MON,DSS,GFAGFB,TRB,MON
MON,DSS,GFAGFB,TRC,MON
MON,DSS,GFAGFB,TRO,MON
MON,DSS,GFAGFB,VAL,MON
MON,DSS,GFAGFB,VFB,MON
MON,DSS,GFC,KVB,MON
MON,DSS,GFC,MID,MON
MON,DSS,GFC,NLN,MON
MON,DSS,GFC,OSC,MON
MON,DSS,GFC,OSE,MON
MON,DSS,GFC,OSO,MON
MON,DSS,GFC,OSS,MON
MON,DSS,GFC,STA,MON
MON,DSS,GFC,STB,MON
MON,DSS,GFC,STC,MON
MON,DSS,GFC,TEN,MON
MON,DSS,GFC,TEQ,MON
MON,DSS,GFC,TRB,MON
MON,DSS,GFC,TRC,MON
MON,DSS,GFC,TRO,MON
MON,DSS,GFC,VAL,MON
MON,DSS,GFC,VFB,MON
MON,DSS,KVB,NLN,MON
MON,DSS,KVB,OSC,MON
MON,DSS,KVB,OSE,MON
MON,DSS,KVB,OSS,MON
MON,DSS,KVB,STA,MON
MON,DSS,KVB,STB,MON
MON,DSS,KVB,STC,MON
MON,DSS,KVB,TEN,MON
MON,DSS,KVB,TEQ,MON
MON,DSS,KVB,TRB,MON
MON,DSS,KVB,TRC,MON
MON,DSS,KVB,VFB,MON
MON,DSS,MID,NLN,MON
MON,DSS,MID,OSC,MON
MON,DSS,MID,OSE,MON
MON,DSS,MID,OSS,MON
MON,DSS,MID,STA,MON
MON,DSS,MID,STB,MON
MON,DSS,MID,STC,MON
MON,DSS,MID,TEN,MON
MON,DSS,MID,TEQ,MON
MON,DSS,MID,TRB,MON
MON,DSS,MID,TRC,MON
MON,DSS,MID,VFB,MON
MON,DSS,NLN,OSC,MON
MON,DSS,NLN,OSE,MON
MON,DSS,NLN,OSO,MON
MON,DSS,NLN,OSS,MON
MON,DSS,NLN,STA,MON
MON,DSS,NLN,STB,MON
MON,DSS,NLN,STC,MON
MON,DSS,NLN,TEN,MON
MON,DSS,NLN,TEQ,MON
MON,DSS,NLN,TRB,MON
MON,DSS,NLN,TRC,MON
MON,DSS,NLN,TRO,MON
MON,DSS,NLN,VAL,MON
MON,DSS,NLN,VFB,MON
MON,DSS,OSC,OSE,MON
MON,DSS,OSC,OSO,MON
MON,DSS,OSC,OSS,MON
MON,DSS,OSC,STA,MON
MON,DSS,OSC,STB,MON
MON,DSS,OSC,STC,MON
MON,DSS,OSC,TEN,MON
MON,DSS,OSC,TEQ,MON
MON,DSS,OSC,TRB,MON
MON,DSS,OSC,TRC,MON
MON,DSS,OSC,VFB,MON
MON,DSS,OSE,OSO,MON
MON,DSS,OSE,OSS,MON
MON,DSS,OSE,TEN,MON
MON,DSS,OSE,TEQ,MON
MON,DSS,OSE,TRB,MON
MON,DSS,OSE,TRC,MON
MON,DSS,OSE,TRO,MON
MON,DSS,OSE,VAL,MON
MON,DSS,OSE,VFB,MON
MON,DSS,OSO,OSS,MON
MON,DSS,OSO,STA,MON
MON,DSS,OSO,STB,MON
MON,DSS,OSO,STC,MON
MON,DSS,OSO,TEN,MON
MON,DSS,OSO,TEQ,MON
MON,DSS,OSO,TRB,MON
MON,DSS,OSO,TRC,MON
MON,DSS,OSO,VFB,MON
MON,DSS,OSS,STA,MON
MON,DSS,OSS,TEN,MON
MON,DSS,OSS,TEQ,MON
MON,DSS,OSS,TRB,MON
MON,DSS,OSS,TRC,MON
MON,DSS,OSS,VFB,MON
MON,DSS,STA,STB,MON
MON,DSS,STA,STC,MON
MON,DSS,STA,TEN,MON
MON,DSS,STA,TEQ,MON
